Pathogen,Vector,Microbial Reactor,Reactor Element,Friction,Thermal Noise,Total Exergy,Synthesis Efficiency (%),Status
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Amanita muscaria,Vanadium (V) (ord=228),6.79,2.21,21.75,0.0,❌ **LETHAL (Decoherence)**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Penicillium chrysogenum,Cobalt (Co) (ord=19),4.39,1.43,17.76,0.0,❌ **LETHAL (Decoherence)**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Saccharomyces cerevisiae,Zinc (Zn) (ord=76),1.08,0.35,12.28,83.9,✅ **VIABLE**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Aspergillus niger,Manganese (Mn) (ord=57),3.88,1.26,16.92,0.0,❌ **LETHAL (Decoherence)**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Acetobacter (SCOBY),Copper (Cu) (ord=228),6.79,2.21,21.75,0.0,❌ **LETHAL (Decoherence)**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Lactobacillus spp.,Magnesium (Mg) (ord=114),4.51,1.47,17.97,0.0,❌ **LETHAL (Decoherence)**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Streptomyces,Iron (Fe) (ord=38),1.15,0.38,12.41,82.7,✅ **VIABLE**
Viral (Rhinovirus/SARS-CoV-2),Saliva/Mucus,Bacillus subtilis,Calcium (Ca) (ord=57),3.88,1.26,16.92,0.0,❌ **LETHAL (Decoherence)**
Bacterial UTI (E. coli),Urine,Amanita muscaria,Vanadium (V) (ord=228),8.19,4.0,30.83,0.0,❌ **LETHAL (Decoherence)**
Bacterial UTI (E. coli),Urine,Penicillium chrysogenum,Cobalt (Co) (ord=19),1.27,0.62,13.64,81.0,✅ **VIABLE**
Bacterial UTI (E. coli),Urine,Saccharomyces cerevisiae,Zinc (Zn) (ord=76),4.64,2.27,22.02,0.0,❌ **LETHAL (Decoherence)**
Bacterial UTI (E. coli),Urine,Aspergillus niger,Manganese (Mn) (ord=57),4.39,2.14,21.39,0.0,❌ **LETHAL (Decoherence)**
Bacterial UTI (E. coli),Urine,Acetobacter (SCOBY),Copper (Cu) (ord=228),8.19,4.0,30.83,0.0,❌ **LETHAL (Decoherence)**
Bacterial UTI (E. coli),Urine,Lactobacillus spp.,Magnesium (Mg) (ord=114),1.49,0.73,14.21,77.6,✅ **VIABLE**
Bacterial UTI (E. coli),Urine,Streptomyces,Iron (Fe) (ord=38),1.19,0.58,13.46,82.2,✅ **VIABLE**
Bacterial UTI (E. coli),Urine,Bacillus subtilis,Calcium (Ca) (ord=57),4.39,2.14,21.39,0.0,❌ **LETHAL (Decoherence)**
Bacterial Lung (S. pneumoniae),Sputum,Amanita muscaria,Vanadium (V) (ord=228),1.65,0.6,13.57,75.3,✅ **VIABLE**
Bacterial Lung (S. pneumoniae),Sputum,Penicillium chrysogenum,Cobalt (Co) (ord=19),5.53,2.02,20.79,0.0,❌ **LETHAL (Decoherence)**
Bacterial Lung (S. pneumoniae),Sputum,Saccharomyces cerevisiae,Zinc (Zn) (ord=76),1.34,0.49,13.0,79.9,✅ **VIABLE**
Bacterial Lung (S. pneumoniae),Sputum,Aspergillus niger,Manganese (Mn) (ord=57),1.38,0.51,13.07,79.3,✅ **VIABLE**
Bacterial Lung (S. pneumoniae),Sputum,Acetobacter (SCOBY),Copper (Cu) (ord=228),1.65,0.6,13.57,75.3,✅ **VIABLE**
Bacterial Lung (S. pneumoniae),Sputum,Lactobacillus spp.,Magnesium (Mg) (ord=114),4.89,1.79,19.61,0.0,❌ **LETHAL (Decoherence)**
Bacterial Lung (S. pneumoniae),Sputum,Streptomyces,Iron (Fe) (ord=38),5.15,1.89,20.09,0.0,❌ **LETHAL (Decoherence)**
Bacterial Lung (S. pneumoniae),Sputum,Bacillus subtilis,Calcium (Ca) (ord=57),1.38,0.51,13.07,79.3,✅ **VIABLE**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Amanita muscaria,Vanadium (V) (ord=228),6.92,4.23,31.98,0.0,❌ **LETHAL (Decoherence)**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Penicillium chrysogenum,Cobalt (Co) (ord=19),1.23,0.75,14.31,81.6,✅ **VIABLE**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Saccharomyces cerevisiae,Zinc (Zn) (ord=76),4.39,2.68,24.12,0.0,❌ **LETHAL (Decoherence)**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Aspergillus niger,Manganese (Mn) (ord=57),4.26,2.6,23.72,0.0,❌ **LETHAL (Decoherence)**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Acetobacter (SCOBY),Copper (Cu) (ord=228),6.92,4.23,31.98,0.0,❌ **LETHAL (Decoherence)**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Lactobacillus spp.,Magnesium (Mg) (ord=114),1.34,0.82,14.67,0.0,❌ **LETHAL (Decoherence)**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Streptomyces,Iron (Fe) (ord=38),1.19,0.73,14.19,82.2,✅ **VIABLE**
Genetic Marker (Cystic Fibrosis),Hair/Sweat,Bacillus subtilis,Calcium (Ca) (ord=57),4.26,2.6,23.72,0.0,❌ **LETHAL (Decoherence)**
